Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2734","Poultry Meat","2010","2010","1000 t","28","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5611","Import quantity","S2734","Poultry Meat","2010","2010","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2734","Poultry Meat","2010","2010","1000 t","28","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2734","Poultry Meat","2010","2010","g/cap/d","0.87","E","Estimated value",""
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2734","Poultry Meat","2011","2011","1000 t","28","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5611","Import quantity","S2734","Poultry Meat","2011","2011","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2734","Poultry Meat","2011","2011","1000 t","28","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2734","Poultry Meat","2011","2011","g/cap/d","0.83","E","Estimated value",""
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2734","Poultry Meat","2012","2012","1000 t","28","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5611","Import quantity","S2734","Poultry Meat","2012","2012","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2734","Poultry Meat","2012","2012","1000 t","26","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2734","Poultry Meat","2012","2012","g/cap/d","0.76","E","Estimated value",""
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2734","Poultry Meat","2013","2013","1000 t","27","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5611","Import quantity","S2734","Poultry Meat","2013","2013","1000 t","1","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2734","Poultry Meat","2013","2013","1000 t","26","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2734","Poultry Meat","2013","2013","g/cap/d","0.76","E","Estimated value",""
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2734","Poultry Meat","2014","2014","1000 t","27","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5611","Import quantity","S2734","Poultry Meat","2014","2014","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2734","Poultry Meat","2014","2014","1000 t","25","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2734","Poultry Meat","2014","2014","g/cap/d","0.73","E","Estimated value",""
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2734","Poultry Meat","2015","2015","1000 t","26","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5611","Import quantity","S2734","Poultry Meat","2015","2015","1000 t","0","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5301","Domestic supply quantity","S2734","Poultry Meat","2015","2015","1000 t","25","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","674","Protein supply quantity (g/capita/day)","S2734","Poultry Meat","2015","2015","g/cap/d","0.7","E","Estimated value",""
"FBS","Food Balances (2010-)","116","Cambodia","5511","Production","S2734","Poultry Meat","2016","2016","1000 t","27","I","Imputed value",""
"FBS","Food Balances (2010-)","116","Cambodia","5611","Import quantity","S2734","Poultry Meat","2016","2016","1000 t","1","I","Imputed value",""
