hhid,province,raised_Poultry,raised_cattle_buffalo,raised_Livestock,raised_Livestock_Poultry,ag_hh_homelot,ag_area_homelot,ag_hh_parcel,ag_area_parcel,ag_hh,ag_area,zone,fhh,edu_hh,edu_hh_head,covid_shock,ag_comm,ag_assoc,ag_comm_assoc,animal_area,animal_ded_area,homelot_area,parcel_area,holding_area,animal_area_rate,rice,rice_harv_sold_pct,sold_rice,rice_area_agland_pct,rice_area_total_pct,rice_price_impt,value_rice_prod,rice_price,cashew,area_cashew_harvested,area_cashew_planted,qty_cashew_harvested,qty_cashew_own_use,qty_cashew_sale,qty_cashew_gift,qty_cashew_pay,qty_cashew_feed,qty_cashew_seed,qty_cashew_lost,qty_cashew_processed,cashew_harv_sold_pct,sold_cashew,cashew_area_agland_pct,cashew_area_total_pct,cashew_price_impt,value_cashew_prod,cashew_price,animal_disease,irrigation,drought,flood,ag_extension_training,family_hours,family_full_days,family_work_days
HID104328,20,1,0,0,1,0,0,1,.2,1,.2,Plain,0,2,2,0,0,0,0,,0,.015,.2000000029802322,.215,,1,0,0,1,.93023258,1,369000,820,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,800,100,380
HID104349,7,1,0,0,1,0,0,1,1,1,1,Coastal,1,1,1,0,0,1,1,,0,.0035,1,1.0035,,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,1848,231,308
HID104368,1,,,,,1,.12,1,5.639999985694885,1,5.7599998,Tonle Sap,0,2,2,0,0,0,0,,0,.12,5.639999985694885,5.7599998,,1,.75,1,.69444448,.69444448,0,7200000,900,0,,,,,,,,,,,,,,,,0,,,0,0,0,1,0,920,115,130
HID104409,3,,,,,0,0,1,20,1,20,Plain,1,1,1,1,0,0,0,,0,.105,20,20.105,,1,0,0,.0099999998,.0099477749,1,123000,820,0,,,,,,,,,,,,,,,,0,,,0,0,1,0,0,50,6.25,50
HID104451,3,1,0,0,1,1,.02,0,0,1,.02,Plain,1,2,1,1,0,0,0,.0037000000011176,1,.02,,.02,.185,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,3760,470,1160
HID104492,8,,,,,1,.057,1,.8,1,.85699999,Plain,0,2,1,0,0,0,0,,0,.057,.800000011920929,.85699999,,1,.80000001,1,.93348897,.93348897,0,4000000,800,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,1495,186.875,345
HID104495,4,1,0,0,1,1,.16,1,.99,1,1.15,Tonle Sap,0,2,2,0,0,0,0,,0,.16,.9900000095367432,1.15,,1,0,0,.86086959,.86086959,1,2250000,900,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,133,16.625,68
HID104497,17,1,0,0,1,1,.3,1,4,1,4.3000002,Tonle Sap,1,2,1,0,0,0,0,.0149999996647239,1,.3,4,4.3000002,.0034883718,1,0,0,.23255813,.23255813,1,1350000,900,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,2601,325.125,524
HID104604,3,,,,,1,.09,1,12,1,12.09,Plain,0,3,2,1,0,0,0,,0,.09,12,12.09,,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,480,60,80
HID104607,20,1,1,1,1,1,.1,1,2,1,2.0999999,Plain,0,2,1,1,0,0,0,.0199999995529652,1,.1,2,2.0999999,.0095238099,1,0,0,.95238101,.95238101,1,4920000,820,0,,,,,,,,,,,,,,,,0,,,1,1,0,0,0,570,71.25,285
HID104699,6,,,,,0,0,1,.4,1,.40000001,Tonle Sap,0,2,1,0,0,0,0,,0,.0115,.4000000059604645,.41150001,,1,0,0,1,.97205347,1,630000,900,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,583,72.875,119
