hhid,province,area_rice_harvested,area_rice_planted,qty_rice_harvested,qty_rice_own_use,qty_rice_sale,qty_rice_gift,qty_rice_pay,qty_rice_feed,qty_rice_seed,qty_rice_lost,qty_rice_processed
HID579917,Ratanak Kiri,0,0,0,,,,,,,,
HID579919,Kampong Thom,.800000011920929,.800000011920929,0,0,0,0,0,0,0,0,0
HID579932,Siem Reap,.1599999964237213,.1599999964237213,0,0,0,0,0,0,0,0,0
HID580194,Kandal,0,0,0,,,,,,,,
HID580195,Battambang,0,0,0,0,0,0,0,0,0,0,0
HID580211,Prey Veng,.300000011920929,.300000011920929,0,0,0,0,0,0,0,0,0
HID580218,Prey Veng,.8999999761581421,.8999999761581421,2500,400,1000,0,0,10,500,0,590
HID580238,Preah Sihanouk,0,0,0,,,,,,,,
HID580431,Prey Veng,1,1,0,0,0,0,0,0,0,0,0
HID580463,Tboung Khmum,2,2,8000,2000,6000,0,0,0,0,0,0
HID580523,Kampong Speu,.3100000023841858,.3100000023841858,0,0,0,0,0,0,0,0,0
HID580538,Kampong Chhnang,1,1,0,0,0,0,0,0,0,0,0
HID580636,Kampong Speu,.699999988079071,.699999988079071,0,0,0,0,0,0,0,0,0
HID580653,Siem Reap,1.5,1.5,2500,1500,1000,0,0,0,0,0,0
HID580674,Kep,.2000000029802322,.2000000029802322,0,0,0,0,0,0,0,0,0
HID580679,Takeo,.4900000095367432,.4900000095367432,1320,1070,100,0,0,100,50,0,0
HID580688,Otdar Meanchey,1.5,1.5,0,0,0,0,0,0,0,0,0
HID580740,Koh Kong,0,0,0,,,,,,,,
HID580757,Kandal,.300000011920929,.300000011920929,0,0,0,0,0,0,0,0,0
HID580761,Tboung Khmum,.6499999761581421,.6499999761581421,2050,1500,350,0,0,0,200,0,0
HID580827,Svay Rieng,1.5,1.5,3250,2250,1000,0,0,0,0,0,0
HID580834,Siem Reap,3,3,6000,2000,4000,0,0,0,0,0,0
HID580892,Kep,.449999988079071,.449999988079071,0,0,0,0,0,0,0,0,0
HID580931,Kampong Speu,.5,.5,0,0,0,0,0,0,0,0,0
HID580933,Kampong Speu,1.600000023841858,1.600000023841858,4180,1200,2700,0,0,50,230,0,0
HID580951,Siem Reap,1,1,6000,2000,4000,0,0,0,0,0,0
HID581049,Battambang,0,0,0,,,,,,,,
HID581281,Battambang,0,0,0,,,,,,,,
HID581506,Svay Rieng,2,2,0,0,0,0,0,0,0,0,0
HID581699,Pailin,0,0,0,,,,,,,,
HID581769,Kampong Speu,1.100000023841858,1.100000023841858,0,0,0,0,0,0,0,0,0
HID581801,Siem Reap,1,1,0,0,0,0,0,0,0,0,0
HID581833,Tboung Khmum,.5699999928474426,.5699999928474426,1700,1000,500,0,0,0,200,0,0
HID582036,Kampong Chhnang,1.299999952316284,1.299999952316284,5000,2000,3000,0,0,0,0,0,0
HID582068,Pursat,1,1,0,0,0,0,0,0,0,0,0
HID582218,Takeo,0,0,0,,,,,,,,
HID582340,Koh Kong,0,0,0,,,,,,,,
HID582343,Kampong Speu,.6000000238418579,.6000000238418579,0,0,0,0,0,0,0,0,0
HID582395,Siem Reap,1,1,2000,1000,1000,0,0,0,0,0,0
HID582444,Prey Veng,.8999999761581421,.8999999761581421,2100,1200,0,100,0,20,370,10,400
HID582445,Tboung Khmum,1.200000047683716,1.200000047683716,3360,1960,1400,0,0,0,0,0,0
HID582468,Kampong Thom,5,5,12500,2000,10500,0,0,0,0,0,0
HID582472,Kampong Cham,.1000000014901161,.1000000014901161,0,0,0,0,0,0,0,0,0
HID582520,Kampong Thom,0,0,0,,,,,,,,
HID582554,Prey Veng,.5,.5,700,600,0,0,0,20,80,0,0
HID582806,Kampong Speu,.5,.5,0,0,0,0,0,0,0,0,0
HID582824,Ratanak Kiri,0,0,0,,,,,,,,
HID582845,Kampong Thom,0,0,0,,,,,,,,
HID582857,Preah Vihear,0,0,0,,,,,,,,
HID582968,Takeo,2,2,18500,2000,14900,0,0,0,1600,0,0
HID582983,Kampot,.699999988079071,.699999988079071,0,0,0,0,0,0,0,0,0
HID583325,Ratanak Kiri,1,1,0,0,0,0,0,0,0,0,0
HID583331,Prey Veng,4.700000047683716,4.700000047683716,14300,4600,9400,0,0,0,300,0,0
HID583474,Otdar Meanchey,2,2,0,0,0,0,0,0,0,0,0
HID583525,Battambang,0,0,0,,,,,,,,
