hhid,province,area_rice_harvested,area_rice_planted,qty_rice_harvested,qty_rice_own_use,qty_rice_sale,qty_rice_gift,qty_rice_pay,qty_rice_feed,qty_rice_seed,qty_rice_lost,qty_rice_processed
HID898642,1,2,2,8000,1000,7000,0,0,0,0,0,0
HID898712,3,0,0,0,,,,,,,,
HID898722,15,2,2,24600,700,23900,0,0,0,0,0,0
HID898731,22,0,0,0,,,,,,,,
HID898735,14,2,2,2000,850,1000,0,0,0,150,0,0
HID898770,5,.3400000035762787,.3400000035762787,0,0,0,0,0,0,0,0,0
HID898775,16,.5,.5,0,0,0,0,0,0,0,0,0
HID898813,21,.699999988079071,.699999988079071,0,0,0,0,0,0,0,0,0
HID898816,4,.5,.5,2000,1300,700,0,0,0,0,0,0
HID898863,4,1,1,7000,1000,6000,0,0,0,0,0,0
HID898864,25,0,0,0,,,,,,,,
HID898866,24,0,0,0,,,,,,,,
HID898938,20,.1000000014901161,.1000000014901161,0,0,0,0,0,0,0,0,0
HID899328,6,1.299999952316284,1.299999952316284,0,0,0,0,0,0,0,0,0
HID899504,15,5.099999904632568,5.099999904632568,52300,5000,47300,0,0,0,0,0,0
HID899513,6,3,3,18000,1000,16000,0,0,0,1000,0,0
HID899678,15,1.700000047683716,1.700000047683716,10000,2000,8000,0,0,0,0,0,0
HID899748,1,.6000000238418579,.6000000238418579,0,0,0,0,0,0,0,0,0
HID899883,7,1.700000047683716,1.700000047683716,120,45,65,0,0,5,5,0,0
HID899982,6,.2000000029802322,.2000000029802322,0,0,0,0,0,0,0,0,0
HID900133,12,0,0,0,,,,,,,,
HID900234,4,.800000011920929,.800000011920929,2000,1000,1000,0,0,0,0,0,0
HID900414,15,.5,.5,0,0,0,0,0,0,0,0,0
HID900499,16,0,0,0,,,,,,,,
HID900515,15,0,0,0,,,,,,,,
HID900671,3,.25,.25,0,0,0,0,0,0,0,0,0
HID900685,15,2,2,6500,800,5700,0,0,0,0,0,0
HID900693,8,0,0,0,0,0,0,0,0,0,0,0
HID900743,17,0,0,0,,,,,,,,
HID900762,25,1,1,0,0,0,0,0,0,0,0,0
HID900785,5,.4000000059604645,.4000000059604645,0,0,0,0,0,0,0,0,0
HID900824,14,1.039999961853027,1.039999961853027,6200,4200,2000,0,0,0,0,0,0
HID900955,3,0,0,0,,,,,,,,
HID900970,8,0,0,0,,,,,,,,
HID901063,4,1.75,1.75,0,0,0,0,0,0,0,0,0
HID901105,3,0,0,0,,,,,,,,
HID901190,13,9,9,25,3,1,0,0,0,21,0,0
HID901260,4,.6004999876022339,.6004999876022339,0,0,0,0,0,0,0,0,0
HID901327,17,4,4,3300,2000,1300,0,0,0,0,0,0
HID901351,2,.6399999856948853,.6399999856948853,0,0,0,0,0,0,0,0,0
HID901372,3,.2700000107288361,.2700000107288361,0,0,0,0,0,0,0,0,0
HID901426,1,0,0,0,0,0,0,0,0,0,0,0
HID901464,17,.699999988079071,.699999988079071,0,0,0,0,0,0,0,0,0
HID901715,21,1,1,7200,800,5840,0,0,0,560,0,0
HID901835,21,1.700000047683716,1.700000047683716,5900,1750,4000,0,0,0,150,0,0
HID901850,3,1.5,1.5,0,0,0,0,0,0,0,0,0
HID901877,3,.5,.5,0,0,0,0,0,0,0,0,0
HID902006,1,0,0,0,,,,,,,,
HID902082,3,.300000011920929,.300000011920929,0,0,0,0,0,0,0,0,0
HID902453,15,0,0,0,,,,,,,,
HID902510,10,2,2,8000,3000,5000,0,0,0,0,0,0
HID902565,25,2.5,2.5,7000,2000,5000,0,0,0,0,0,0
HID902617,2,0,0,0,,,,,,,,
HID902743,6,.5,.5,7000,3000,4000,0,0,0,0,0,0
HID902794,23,.8999999761581421,.8999999761581421,0,0,0,0,0,0,0,0,0
HID902796,14,1,1,6500,2000,4500,0,0,0,0,0,0
HID902887,2,0,0,0,,,,,,,,
HID903015,5,0,0,0,,,,,,,,
HID903063,2,0,0,0,,,,,,,,
HID903130,12,0,0,0,,,,,,,,
HID903191,8,1,1,0,0,0,0,0,0,0,0,0
HID903217,1,1,1,0,0,0,0,0,0,0,0,0
HID903228,1,10,10,23330,10000,13330,0,0,0,0,0,0
HID903535,21,.5,.5,1200,800,300,0,0,0,100,0,0
HID903545,14,.6399999856948853,.6399999856948853,0,0,0,0,0,0,0,0,0
HID903710,20,3,3,0,0,0,0,0,0,0,0,0
HID903834,17,0,0,0,,,,,,,,
HID903855,10,0,0,0,,,,,,,,
HID904012,3,2,2,125,60,50,0,0,0,15,0,0
HID904093,2,.4799999892711639,.4799999892711639,0,0,0,0,0,0,0,0,0
HID904242,21,.9800000190734863,.9800000190734863,4720,400,4020,0,0,0,300,0,0
HID904267,2,5,5,0,0,0,0,0,0,0,0,0
HID904323,6,3,3,8500,2500,6000,0,0,0,0,0,0
HID904338,6,0,0,0,,,,,,,,
HID904513,25,.1800000071525574,.1800000071525574,0,0,0,0,0,0,0,0,0
HID904803,14,.5,.5,3500,2000,1500,0,0,0,0,0,0
HID904814,10,0,0,0,,,,,,,,
HID904848,16,0,0,0,,,,,,,,
HID904870,14,.2000000029802322,.2000000029802322,0,0,0,0,0,0,0,0,0
HID904872,7,0,0,0,,,,,,,,
HID905124,3,.119999997317791,.119999997317791,0,0,0,0,0,0,0,0,0
HID905181,14,.1000000014901161,.1000000014901161,0,0,0,0,0,0,0,0,0
HID905251,10,.5,.5,0,0,0,0,0,0,0,0,0
HID905261,16,2,2,2000,500,1500,0,0,0,0,0,0
HID905349,21,0,0,0,,,,,,,,
HID905354,9,.4000000059604645,.4000000059604645,0,0,0,0,0,0,0,0,0
HID905471,5,.4000000059604645,.4000000059604645,0,0,0,0,0,0,0,0,0
HID905584,10,1,1,5000,2500,2500,0,0,0,0,0,0
HID905609,5,.699999988079071,.699999988079071,1250,850,350,0,0,0,50,0,0
