hhid,province,raised_Poultry,raised_cattle_buffalo,raised_Livestock,raised_Livestock_Poultry,ag_area,ag_hh,zone,fhh,edu_hh,edu_hh_head,covid_shock,ag_comm,ag_assoc,ag_comm_assoc,animal_area,animal_ded_area,homelot_area,parcel_area,holding_area,animal_area_rate,rice,rice_harv_sold_pct,sold_rice,rice_area_agland_pct,rice_area_total_pct,rice_price_impt,value_rice_prod,rice_price,cashew,area_cashew_harvested,area_cashew_planted,qty_cashew_harvested,qty_cashew_own_use,qty_cashew_sale,qty_cashew_gift,qty_cashew_pay,qty_cashew_feed,qty_cashew_seed,qty_cashew_lost,qty_cashew_processed,cashew_harv_sold_pct,sold_cashew,cashew_area_agland_pct,cashew_area_total_pct,cashew_price_impt,value_cashew_prod,cashew_price,animal_disease,irrigation,drought,flood,ag_extension_training,family_hours,family_full_days,family_work_days
HID104134,14,1,0,0,1,1.0815,1,Plain,0,2,2,0,0,0,0,.0015000000130385,1,.105,1.07,1.175,.0012765958,1,.15555556,1,.98936659,.91063833,0,4500000,1000,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,256,32,256
HID104161,2,1,0,0,1,30.322,1,Tonle Sap,0,2,1,1,0,0,0,.0020000000949949,1,.5,20,20.5,.00009756098,1,.4375,1,.59362841,.87804878,0,128000000,800,0,,,,,,,,,,,,,,,,0,,,1,1,0,0,0,480,60,120
HID104276,21,,,,,.13,1,Plain,0,0,,0,0,0,0,,0,.048,,.048,,1,0,0,.76923078,2.0833333,1,223200,930,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,1,40,5,25
HID104427,14,1,1,1,1,.2737,1,Plain,0,2,2,0,0,0,0,.0012000000569969,1,.036,.27,.30599999,.0039215689,1,.44999999,1,.98648155,.88235295,0,5940000,900,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,504,63,168
HID104451,2,,,,,1,1,Tonle Sap,1,0,0,1,0,0,0,,0,.15,,.15000001,,1,0,0,1,6.6666665,1,2700000,900,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0
HID104460,25,1,1,1,1,.4032,1,Plain,1,0,0,0,0,0,0,.0006000000284985,1,.0144,,.0144,.041666668,1,0,0,.99206346,27.777779,1,1900000,950,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,1,1888,236,382
HID104658,10,1,1,1,1,1.051,1,Mountain,0,2,2,0,0,0,0,.7005000114440918,1,.0315,1.05,1.0815001,.64771152,1,0,0,.66603237,.64724916,1,3300000,1000,0,,,,,,,,,,,,,,,,0,,,0,1,1,0,0,1260,157.5,210
HID104683,22,1,0,0,1,.8043,1,Tonle Sap,1,2,0,0,0,0,0,.0017999999690801,1,.12,.8,.92000002,.0019565218,1,0,0,.99465376,.86956519,1,1020000,850,0,,,,,,,,,,,,,,,,0,,,0,0,0,1,0,618,77.25,150
HID104701,14,1,0,0,1,7.001,1,Plain,1,2,1,0,0,0,0,,0,.12,7,7.1199999,,1,0,0,.99985719,.98314607,1,65100000,930,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,840,105,120
HID104736,1,1,0,0,1,2.865,1,Tonle Sap,0,3,1,0,0,0,0,,0,.12,2.86,2.98,,1,0,0,.87260038,.8389262,1,3240000,900,0,,,,,,,,,,,,,,,,0,,,0,0,1,0,0,2520,315,720
HID104757,21,1,0,0,1,1.2062,1,Plain,1,2,1,0,0,0,0,.0012000000569969,1,.084,1.2,1.284,.00093457947,1,.35714287,1,.99485987,.93457943,0,7700000,1100,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,3216,402,864
HID104838,21,1,0,0,1,.3284,1,Plain,0,2,2,0,0,0,0,.0024000001139939,1,.2784,.25,.5284,.0045420136,1,0,0,.76126677,.47312641,1,1116000,930,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,2260,282.5,340
HID104888,17,1,0,0,1,.024,1,Tonle Sap,0,1,1,0,0,0,0,.0020000000949949,1,.03,,.029999999,.06666667,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,628,78.5,326
HID104976,10,1,0,0,1,17.02,1,Mountain,0,2,1,0,0,0,0,.0199999995529652,1,1.05,,1.05,.01904762,0,,,,,0,,,1,0,16,0,,,,,,,,,,,.94007051,15.238096,0,,,0,1,0,0,1,2400,300,300
HID105056,2,,,,,.24,1,Tonle Sap,0,3,2,0,0,0,0,,0,.5,,.5,,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,1,0,1,1,421,52.625,85
HID105088,5,1,0,0,1,.905,1,Mountain,0,2,1,0,0,0,0,.0049999998882413,1,.02,.9,.92000002,.0054347822,1,.25,1,.99447513,.97826087,0,8800000,1100,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,840,105,150
HID105089,21,,,,,.4,1,Plain,0,2,2,0,0,0,0,,0,.01,,.0099999998,,1,0,0,1,40,1,1488000,930,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,1,36,4.5,18
HID105223,12,1,0,0,1,.0254,1,Phnom Penh,0,2,0,0,0,0,0,.0001999999949476,1,.78,,.77999997,.00025641025,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,2160,270,720
HID105238,10,1,0,0,1,.0012,1,Mountain,0,2,2,0,0,0,0,.0001999999949476,1,.0208,,.0208,.009615384,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,140,17.5,30
HID105396,3,,,,,1.5006,1,Plain,0,1,0,0,0,0,0,,0,.045,2,2.0450001,,1,.11607143,1,.99960017,.73349631,0,8960000,800,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,24,3,12
HID105421,25,,,,,.202,1,Plain,0,2,1,0,0,0,0,,0,.0675,.2,.26750001,,1,.25,1,.99009901,.7476635,0,1080000,900,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,1,180,22.5,45
HID105463,8,1,0,0,1,.255,1,Plain,0,2,1,0,0,0,0,.0020000000949949,1,.01,.25,.25999999,.0076923082,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,6900,862.5,820
HID105512,10,1,1,1,1,.04185,1,Mountain,0,2,1,0,0,0,0,.0003999999898952,1,.04725,,.047249999,.0084656086,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,1596,199.5,479
HID105522,21,1,0,0,1,.3002,1,Plain,0,2,2,0,0,0,0,.0001999999949476,1,.09,.3,.39000002,.00051282049,1,0,0,.9993338,.76923072,1,1674000,930,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,150,18.75,100
HID105558,13,1,0,0,1,0,0,Mountain,1,2,2,0,0,0,0,,0,.13,,.13,,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,120,15,15
HID105581,8,1,0,0,1,.0987,1,Plain,1,2,0,0,0,0,0,.0087000001221895,1,.1035,,.1035,.084057972,0,,,,,0,,,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,588,73.5,147
HID105641,15,,,,,.505,1,Tonle Sap,1,2,1,0,0,0,0,,0,.105,.5,.60500002,,1,0,0,.99009901,.82644624,1,1800000,900,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,0,90,11.25,30
HID105651,14,1,1,1,1,.785,1,Plain,1,2,1,0,0,0,0,.0199999995529652,1,.165,.7,.86500001,.023121387,1,0,0,.89171976,.80924857,1,4092000,930,0,,,,,,,,,,,,,,,,0,,,0,1,0,1,0,1080,135,270
HID105671,14,1,0,0,1,.755,1,Plain,0,2,1,0,1,0,1,.0020000000949949,1,.05,.75,.80000001,.0025000002,1,.2631579,1,.99337751,.9375,0,7220000,950,0,,,,,,,,,,,,,,,,0,,,0,1,1,0,1,1496,187,396
HID105679,25,,,,,1.574,1,Plain,1,2,1,0,0,0,0,,0,.08,1.5,1.58,,1,0,0,.952986,.94936705,1,3800000,950,0,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,840,105,140
HID105749,14,,,,,2.002,1,Plain,0,2,2,0,0,0,0,,0,.078,1,1.0779999,,1,.375,1,.99900103,1.8552877,0,14700000,1050,0,,,,,,,,,,,,,,,,0,,,0,1,0,0,1,480,60,150
