hhid,province,zone,area_rice_harvested,qty_rice_harvested
HID135312,1,Tonle Sap,1,2500
HID135559,2,Tonle Sap,.48,1500
HID135620,5,Mountain,1.5,6000
HID135665,15,Tonle Sap,3,9000
HID135681,2,Tonle Sap,4,2090
HID135703,21,Plain,.38,800
HID135730,9,Coastal,1,1200
HID135799,15,Tonle Sap,.5,3000
HID135808,7,Coastal,.5,1500
HID135853,17,Tonle Sap,2,2050
HID135884,1,Tonle Sap,2,4500
HID135926,1,Tonle Sap,2.5,5000
HID135956,3,Plain,.34,1300
HID136050,14,Plain,2,750
HID136221,8,Plain,0,0
HID136254,6,Tonle Sap,0,0
HID136278,22,Tonle Sap,0,0
HID136281,1,Tonle Sap,.5,500
HID136309,20,Plain,.4,1000
HID136315,14,Plain,.75,2500
HID136319,17,Tonle Sap,2,2000
HID136501,13,Mountain,2,1700
HID136563,7,Coastal,1.4,2200
HID136623,21,Plain,.05,200
HID136650,7,Coastal,.5,1200
HID136725,21,Plain,.4,1870
HID136755,3,Plain,.5,1500
HID136772,4,Tonle Sap,.3,485
HID136912,7,Coastal,0,0
HID136959,8,Plain,0,0
HID136972,21,Plain,1.8,7000
HID137047,8,Plain,0,0
HID137050,3,Plain,1.5,1300
HID137076,6,Tonle Sap,.5,1400
HID137095,14,Plain,0,0
HID137139,15,Tonle Sap,.5,630
HID137152,14,Plain,.3,1500
HID137376,2,Tonle Sap,0,0
HID137403,14,Plain,0,0
HID137565,1,Tonle Sap,.72,1500
HID137620,9,Coastal,0,0
HID137641,8,Plain,2.5,12500
HID137678,25,Plain,0,0
HID137680,14,Plain,1,2800
HID137736,14,Plain,1.565,5000
HID137754,5,Mountain,.33,1200
HID137761,1,Tonle Sap,0,0
HID137777,8,Plain,0,0
HID137827,22,Tonle Sap,2,3920
HID137883,14,Plain,2,18000
HID138000,5,Mountain,.5,700
HID138046,9,Coastal,0,0
HID138069,14,Plain,1.5,1500
HID138108,21,Plain,0,0
HID138210,15,Tonle Sap,1.75,1250
HID138246,,,0,0
HID138391,23,Coastal,0,0
HID138527,21,Plain,.6479999999999999,1800
HID138655,25,Plain,0,0
HID138680,2,Tonle Sap,0,0
HID138683,14,Plain,.5,4000
HID138781,13,Mountain,0,0
HID138784,14,Plain,.3,1200
HID138947,21,Plain,.08,250
HID139053,3,Plain,2,1750
HID139170,14,Plain,0,0
HID139180,4,Tonle Sap,0,0
HID139271,14,Plain,.2,200
HID139418,15,Tonle Sap,0,0
HID139442,5,Mountain,0,0
HID139599,3,Plain,.5,700
HID139618,14,Plain,.8,4000
HID139667,17,Tonle Sap,0,0
HID139793,6,Tonle Sap,8,28000
HID139900,2,Tonle Sap,3.5,6000
HID140000,17,Tonle Sap,0,0
HID140115,20,Plain,12,66000
HID140305,5,Mountain,.7,3300
HID140349,3,Plain,2.5,6000
HID140448,21,Plain,.4,1200
HID140491,25,Plain,0,0
HID140622,2,Tonle Sap,10.3,40000
HID140625,8,Plain,1.28,5000
HID140627,3,Plain,.28,910
HID140628,21,Plain,.05,400
HID140629,23,Coastal,.405,1100
HID140711,8,Plain,0,0
HID140732,25,Plain,.5,1500
HID140733,2,Tonle Sap,.96,1200
HID140857,4,Tonle Sap,.9,2400
HID141006,13,Mountain,5,8000
HID141007,3,Plain,.85,1800
HID141056,21,Plain,.3,2000
HID141080,1,Tonle Sap,1,750
HID141096,1,Tonle Sap,5,13000
HID141102,14,Plain,.77,3120
HID141105,25,Plain,2,2500
HID141106,6,Tonle Sap,0,0
HID141224,10,Mountain,0,0
HID141302,8,Plain,1,12000
HID141328,5,Mountain,.5,2400
HID141403,7,Coastal,.25,825
HID141462,7,Coastal,0,0
HID141530,20,Plain,.2,400
HID141877,5,Mountain,1.5,1800
HID142086,2,Tonle Sap,0,0
HID142105,24,Tonle Sap,0,0
HID142161,19,Mountain,0,0
HID142283,23,Coastal,0,0
HID142308,2,Tonle Sap,0,0
HID142325,10,Mountain,.47,1000
HID142403,3,Plain,0,0
HID142530,7,Coastal,.778,1815
HID142596,2,Tonle Sap,0,0
HID142616,2,Tonle Sap,0,0
HID142739,3,Plain,2.5,14000
HID142758,14,Plain,.68,3000
HID142772,6,Tonle Sap,6,870
HID142807,8,Plain,2,12000
HID142836,14,Plain,0,0
HID142858,8,Plain,0,0
HID142864,7,Coastal,0,0
HID142869,21,Plain,1,1250
HID143056,4,Tonle Sap,2.5,2500
HID143096,8,Plain,0,0
HID143112,2,Tonle Sap,0,0
HID143146,17,Tonle Sap,1.5,3000
HID143161,8,Plain,.4,2000
HID143170,5,Mountain,0,0
HID143304,2,Tonle Sap,0,0
HID143360,20,Plain,0,0
HID143377,5,Mountain,.7,1500
HID143455,22,Tonle Sap,2.5,7680
HID143478,7,Coastal,.17,420
HID143566,4,Tonle Sap,.6,2000
HID143606,14,Plain,4,12250
HID143615,25,Plain,0,0
HID143619,22,Tonle Sap,3.25,2000
HID143646,25,Plain,0,0
HID143715,6,Tonle Sap,9,9000
HID143834,5,Mountain,2,15000
HID143905,19,Mountain,0,0
HID143927,5,Mountain,.4,750
HID143963,8,Plain,2,10000
HID144083,17,Tonle Sap,1,900
HID144247,2,Tonle Sap,0,0
HID144298,8,Plain,0,0
HID144302,5,Mountain,1,2200
HID144313,21,Plain,.58,4500
