year,value,product_general,unit,flow,dataset,product_detailed,dataset_product
2014,.003704,cashew,1 million USD,imports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, shelled","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, shelled"
2014,.095415,cashew,1 million USD,imports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, in shell","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, in shell"
2014,.623529,poultry,1 million USD,imports,COMTRADE,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","COMTRADE - Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls"
2014,.545498,cashew,1 million USD,exports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, in shell","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, in shell"
2014,.495031,cashew,1 million USD,exports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, shelled","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, shelled"
2015,.000871,cashew,1 million USD,imports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, shelled","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, shelled"
2015,.050311,cashew,1 million USD,imports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, in shell","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, in shell"
2015,.751852,poultry,1 million USD,imports,COMTRADE,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","COMTRADE - Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls"
2015,.005547,poultry,1 million USD,exports,COMTRADE,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","COMTRADE - Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls"
2015,.441893,cashew,1 million USD,exports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, in shell","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, in shell"
2015,.003696,cashew,1 million USD,exports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, shelled","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, shelled"
2016,.02124,cashew,1 million USD,imports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, shelled","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, shelled"
2016,.480814,poultry,1 million USD,imports,COMTRADE,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","COMTRADE - Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls"
2016,.264388,poultry,1 million USD,exports,COMTRADE,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","COMTRADE - Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls"
2016,.289092,cashew,1 million USD,exports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, in shell","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, in shell"
2016,.028598,cashew,1 million USD,exports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, shelled","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, shelled"
2017,.04050777,cashew,1 million USD,imports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, in shell","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, in shell"
2017,.68178076,poultry,1 million USD,imports,COMTRADE,"Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls","COMTRADE - Poultry; live, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls"
2017,.66802536,cashew,1 million USD,exports,COMTRADE,"Nuts, edible; cashew nuts, fresh or dried, in shell","COMTRADE - Nuts, edible; cashew nuts, fresh or dried, in shell"
